project,period,specified_capacity_mw,specified_energy_mwh,shaping_capacity_mw,hyb_gen_specified_capacity_mw,hyb_stor_specified_capacity_mw,specified_stor_capacity_mwh,fuel_production_capacity_fuelunitperhour,fuel_release_capacity_fuelunitperhour,fuel_storage_capacity_fuelunit
SERC_C_BIOMASS,2035,198.9,,,,,,,,
SERC_C_COAL,2035,9726.5,,,,,,,,
SERC_C_DGPV,2035,20.0,,,,,,,,
SERC_C_DR,2035,1851.0,,,,,,,,
SERC_C_GAS_DUAL_FUEL,2035,4182.3,,,,,,,,
SERC_C_GAS_SINGLE_FUEL,2035,16488.8,,,,,,,,
SERC_C_GEOTHERMAL,2035,0.0,,,,,,,,
SERC_C_HYDRO,2035,6781.1,,,,,,,,
SERC_C_LBW,2035,1469.5,,,,,,,,
SERC_C_NUCLEAR,2035,8184.4,,,,,,,,
SERC_C_OIL,2035,150.0,,,,,,,,
SERC_C_OTHER,2035,23.4,,,,,,,,
SERC_C_PUMPED_STORAGE,2035,1919.3,,,,,23031.6,,,
SERC_C_UPV,2035,1681.8,,,,,,,,
SERC_E_BATTERY_STORAGE,2035,209.3,,,,,837.2,,,
SERC_E_BIOMASS,2035,591.7,,,,,,,,
SERC_E_COAL,2035,8922.0,,,,,,,,
SERC_E_DGPV,2035,833.0,,,,,,,,
SERC_E_DR,2035,983.0,,,,,,,,
SERC_E_GAS_DUAL_FUEL,2035,13355.9,,,,,,,,
SERC_E_GAS_SINGLE_FUEL,2035,9135.3,,,,,,,,
SERC_E_GEOTHERMAL,2035,0.0,,,,,,,,
SERC_E_HYDRO,2035,2388.1,,,,,,,,
SERC_E_NUCLEAR,2035,11749.9,,,,,,,,
SERC_E_OIL,2035,480.4,,,,,,,,
SERC_E_OTHER,2035,150.8,,,,,,,,
SERC_E_PUMPED_STORAGE,2035,2956.0,,,,,35472.0,,,
SERC_E_UPV,2035,6433.4,,,,,,,,
SERC_FL_BATTERY_STORAGE,2035,575.7,,,,,2302.8,,,
SERC_FL_BIOMASS,2035,953.1,,,,,,,,
SERC_FL_COAL,2035,3536.3,,,,,,,,
SERC_FL_DGPV,2035,2051.0,,,,,,,,
SERC_FL_DR,2035,2804.0,,,,,,,,
SERC_FL_GAS_DUAL_FUEL,2035,31340.9,,,,,,,,
SERC_FL_GAS_SINGLE_FUEL,2035,18264.6,,,,,,,,
SERC_FL_GEOTHERMAL,2035,0.0,,,,,,,,
SERC_FL_HYDRO,2035,43.5,,,,,,,,
SERC_FL_NUCLEAR,2035,3666.0,,,,,,,,
SERC_FL_OIL,2035,1567.8,,,,,,,,
SERC_FL_OTHER,2035,370.9,,,,,,,,
SERC_FL_PUMPED_STORAGE,2035,0.0,,,,,0.0,,,
SERC_FL_UPV,2035,12118.2,,,,,,,,
SERC_SE_BATTERY_STORAGE,2035,147.7,,,,,590.8,,,
SERC_SE_BIOMASS,2035,1669.1,,,,,,,,
SERC_SE_COAL,2035,10591.8,,,,,,,,
SERC_SE_DGPV,2035,317.0,,,,,,,,
SERC_SE_DR,2035,2069.0,,,,,,,,
