weather_iteration,hydro_iteration,stage_id,balancing_type_project,horizon,average_power_fraction,min_power_fraction,max_power_fraction
0,1,1,day,225,0.019149099770506495,0,1
0,1,1,day,226,0.008872169777840848,0,1
0,1,1,day,227,0.008872169777840848,0,1
0,1,1,day,228,0.008872169777840848,0,1
0,1,1,day,229,0.41762042491778356,0,1
0,1,1,day,230,0.4053102893510294,0,1
0,1,1,day,231,0.22557491660160356,0,1
0,1,1,day,232,0.1015863439562777,0,1
0,1,1,day,233,0.3467539688172798,0,1
0,1,1,day,234,0.24860559064991541,0,1
0,1,1,day,235,0.008872169777840848,0,1
0,1,1,day,236,0.008872169777840848,0,1
0,1,1,day,237,0.008872169777840848,0,1
0,1,1,day,238,0.008872169777840848,0,1
0,1,1,day,239,0.008872169777840848,0,1
0,1,1,day,240,0.008872169777840848,0,1
0,1,1,day,241,0.008872169777840848,0,1
0,1,1,day,242,0.008872169777840848,0,1
0,1,1,day,243,0.008872169777840848,0,1
0,1,1,day,244,0.07138399933754448,0,1
0,1,1,day,245,0.008872169777840848,0,1
0,1,1,day,246,0.008872169777840848,0,1
0,1,1,day,247,0.008872169777840848,0,1
0,1,1,day,248,0.320211394231906,0,1
0,1,1,day,249,0.008872169777840848,0,1
0,1,1,day,250,0.008872169777840848,0,1
0,1,1,day,251,0.4335903305178971,0,1
0,1,1,day,252,0.008872169777840848,0,1
0,1,1,day,253,0.008872169777840848,0,1
0,1,1,day,254,0.008872169777840848,0,1
0,1,1,day,255,0.008872169777840848,0,1
0,1,1,day,256,0.008872169777840848,0,1
0,1,1,day,257,0.10465463600444767,0,1
0,1,1,day,258,0.10010764899330424,0,1
0,1,1,day,259,0.008872169777840848,0,1
0,1,1,day,260,0.028686682281685413,0,1
0,1,1,day,261,0.07844476778574283,0,1
0,1,1,day,262,0.008872169777840848,0,1
0,1,1,day,263,0.008872169777840848,0,1
0,1,1,day,264,0.1746708425012417,0,1
0,1,1,day,265,0.35240997705065336,0,1
0,1,1,day,266,0.07349113965978168,0,1
0,1,1,day,267,0.008872169777840848,0,1
0,1,1,day,268,0.28050843447606816,0,1
0,1,1,day,269,0.08384200440059601,0,1
0,1,1,day,270,0.18524351148650203,0,1
0,1,1,day,271,0.066282501715286,0,1
0,1,1,day,272,0.008872169777840848,0,1
0,1,1,day,273,0.008872169777840848,0,1
0,1,1,day,274,0.21178608607187593,0,1
0,1,1,day,275,0.008872169777840848,0,1
0,1,1,day,276,0.008872169777840848,0,1
0,1,1,day,277,0.008872169777840848,0,1
0,1,1,day,278,0.008872169777840848,0,1
0,1,1,day,279,0.05700369082262745,0,1
0,1,1,day,280,0.027466758937232293,0,1
0,1,1,day,281,0.125430300234225,0,1
0,1,1,day,282,0.19966078737549342,0,1
0,1,1,day,283,0.4811673409515687,0,1
0,1,1,day,284,0.5553238933446883,0,1
0,1,1,day,285,0.4122971230510791,0,1
0,1,1,day,286,0.40619750632881346,0,1
0,1,1,day,287,0.3846085598694008,0,1
0,1,1,day,288,0.2448718858684074,0,1
0,1,1,day,289,0.5013884945702309,0,1
0,1,1,day,290,0.13892339177135796,0,1
0,1,1,day,291,0.008872169777840848,0,1
