weather_iteration,hydro_iteration,stage_id,balancing_type_project,horizon,average_power_fraction,min_power_fraction,max_power_fraction
0,1,1,day,194,0.26021634615384615,0,1
0,1,1,day,195,0.5941005608974359,0,1
0,1,1,day,196,0.5630508814102564,0,1
0,1,1,day,197,0.5529346955128205,0,1
0,1,1,day,198,0.37039262820512825,0,1
0,1,1,day,199,0.30298477564102566,0,1
0,1,1,day,200,0.2091846955128205,0,1
0,1,1,day,201,0.2205528846153846,0,1
0,1,1,day,202,0.3198116987179487,0,1
0,1,1,day,203,0.4395032051282052,0,1
0,1,1,day,204,0.3197616185897436,0,1
0,1,1,day,205,0.36899038461538464,0,1
0,1,1,day,206,0.5037059294871795,0,1
0,1,1,day,207,0.39077524038461536,0,1
0,1,1,day,208,0.337890625,0,1
0,1,1,day,209,0.32907652243589747,0,1
0,1,1,day,210,0.42703325320512825,0,1
0,1,1,day,211,0.3872195512820513,0,1
0,1,1,day,212,0.6895532852564104,0,1
0,1,1,day,213,0.5788261217948718,0,1
0,1,1,day,214,0.43935296474358976,0,1
0,1,1,day,215,0.5083133012820513,0,1
0,1,1,day,216,0.31039663461538464,0,1
0,1,1,day,217,0.40720152243589747,0,1
0,1,1,day,218,0.40579927884615385,0,1
0,1,1,day,219,0.2998798076923077,0,1
0,1,1,day,220,0.23412459935897434,0,1
0,1,1,day,221,0.3118489583333333,0,1
0,1,1,day,222,0.2790965544871795,0,1
0,1,1,day,223,0.2478966346153846,0,1
0,1,1,day,224,0.21809895833333334,0,1
0,1,1,day,225,0.1266025641025641,0,1
0,1,1,day,226,0.267978766025641,0,1
0,1,1,day,227,0.40314503205128205,0,1
0,1,1,day,228,0.31465344551282054,0,1
0,1,1,day,229,0.2939703525641026,0,1
0,1,1,day,230,0.3837139423076923,0,1
0,1,1,day,231,0.22526041666666666,0,1
0,1,1,day,232,0.18023838141025642,0,1
0,1,1,day,233,0.2244090544871795,0,1
0,1,1,day,234,0.255859375,0,1
0,1,1,day,235,0.23167067307692307,0,1
0,1,1,day,236,0.24373998397435898,0,1
0,1,1,day,237,0.10807291666666667,0,1
0,1,1,day,238,0.10611979166666667,0,1
0,1,1,day,239,0.4028445512820513,0,1
0,1,1,day,240,0.5194811698717948,0,1
0,1,1,day,241,0.32742387820512825,0,1
0,1,1,day,242,0.37985777243589747,0,1
0,1,1,day,243,0.21118790064102566,0,1
0,1,1,day,244,0.16326121794871795,0,1
0,1,1,day,245,0.32181490384615385,0,1
0,1,1,day,246,0.6541466346153846,0,1
0,1,1,day,247,0.6962640224358974,0,1
0,1,1,day,248,0.3922275641025641,0,1
