GridPath_Fuel_Type,Min_Value,Max_Value,Size,Generator Catagory/Classification,Start,End,# Units,Unit-Years,NMC,NDC,Attempts,Actual,SH,RSH,# RSH,Pump Hr,SCH,AH,FOH,# FOH,POH,# POH,SEPO,# SEPO,MOH,# MOH,SEMO,# SEMO,UAH,PH,EFDH,ESDH,EFDHRS,EDOH,POF,MOF,ART,SR,NCF,NOF,SF,AF,EAF,FOR,EFOR,EFORd,SOF,FOF,UOF,EUOF,EUOR,WSF,WAF,WEAF,WFOR,WEFOR,WSOF,WFOF
NUCLEAR,0,400,All Sizes,NUCLEAR All Types         All Sizes,2019,2023,104,457.42,"1,030","1,026",1.53,1.5,"8,081.90",0.6,0.01,0,0,"8,082.50",127.8,0.78,458.37,0.89,17.57,0.1,21.14,0.15,0.27,0,625.14,"8,707.64",39.68,81.42,0,121.1,5.47,0.25,"5,387.93",98.04,91.96,99.16,92.81,92.82,91.01,1.56,2.04,2.04,5.71,1.47,1.71,2.59,2.74,92.74,92.75,90.92,1.56,2.06,5.78,1.47
NUCLEAR,400,800,400-799,NUCLEAR All Types           400-799,2019,2023,11,43,624,619,1.26,1.26,"7,924.60",0,0,0,0,"7,924.60",211.62,0.74,431.53,0.77,5.69,0.05,38.47,0.12,0,0,687.31,"8,611.91",34.94,77.8,0,112.74,5.08,0.45,"6,289.37",100,90.04,97.91,92.02,92.02,89.8,2.6,3.03,3.03,5.52,2.46,2.9,3.48,3.67,91.96,91.96,89.8,2.68,3.12,5.51,2.53
NUCLEAR,800,1000,800-999,NUCLEAR All Types           800-999,2019,2023,37,161,892,889,1.51,1.48,"8,156.15",0,0,0,0,"8,156.15",102.1,0.81,409.41,0.8,29.68,0.11,19.96,0.12,0,0,561.14,"8,717.29",37.86,68.97,0,106.83,5.04,0.23,"5,510.91",98.01,93.23,99.72,93.56,93.56,92.06,1.24,1.69,1.69,5.27,1.17,1.4,2.2,2.32,93.49,93.49,91.99,1.27,1.73,5.31,1.2
NUCLEAR,1000,100000,1000 Plus,NUCLEAR All Types         1000 Plus,2019,2023,56,253.42,"1,187","1,181",1.58,1.55,"8,061.42",1.08,0.01,0,0,"8,062.50",129.9,0.77,494.02,0.96,11.89,0.09,18.95,0.17,0.49,0,655.25,"8,717.75",41.63,89.95,0,131.58,5.8,0.22,"5,200.92",98.1,91.52,98.99,92.47,92.48,90.54,1.59,2.09,2.09,6.03,1.49,1.71,2.68,2.85,92.45,92.46,90.51,1.6,2.12,6.03,1.51
,,,All Sizes,NUCLEAR PWR               All Sizes,2019,2023,61,271,"1,046","1,041",1.48,1.44,"8,037.65",0.86,0,0,0,"8,038.51",139.16,0.78,505.75,0.88,18.17,0.1,10.09,0.08,0,0,673.17,"8,711.68",29.9,53.53,0,83.43,6.01,0.12,"5,581.70",97.3,91.82,99.62,92.26,92.27,90.91,1.7,2.07,2.07,6.13,1.6,1.71,2.28,2.43,92.17,92.18,90.81,1.7,2.07,6.22,1.59
,,,400-799,NUCLEAR PWR                 400-799,2019,2023,4,17,616,609,1.24,1.24,"8,084.16",0,0,0,0,"8,084.16",236.82,0.88,444.2,0.71,0,0,0.46,0.06,0,0,681.49,"8,765.65",24.05,81.07,0,105.12,5.07,0.01,"6,519.48",100,92.15,99.85,92.23,92.23,89.99,2.85,3.14,3.14,5.07,2.7,2.71,3.1,3.26,92.29,92.29,90.21,2.93,3.24,4.93,2.78
,,,800-999,NUCLEAR PWR                 800-999,2019,2023,22,91,890,888,1.41,1.35,"8,135.89",0,0,0,0,"8,135.89",112.14,0.76,457.04,0.8,27.98,0.09,3.87,0.04,0,0,601.03,"8,736.92",27.4,40.39,0,67.79,5.55,0.04,"6,026.59",95.74,93.33,100.3,93.12,93.12,92.18,1.36,1.69,1.69,5.6,1.28,1.33,1.78,1.89,93.06,93.06,92.11,1.4,1.73,5.62,1.32
,,,1000 Plus,NUCLEAR PWR               1000 Plus,2019,2023,35,163,"1,178","1,172",1.54,1.5,"7,977.96",1.43,0.01,0,0,"7,979.39",144.06,0.79,539.36,0.94,14.58,0.12,14.57,0.1,0,0,712.57,"8,691.96",31.9,58,0,89.9,6.37,0.17,"5,318.64",97.4,91.16,99.32,91.79,91.8,90.29,1.77,2.17,2.17,6.54,1.66,1.83,2.48,2.65,91.79,91.81,90.3,1.76,2.15,6.55,1.65
,,,All Sizes,NUCLEAR BWR               All Sizes,2019,2023,30,136,"1,061","1,057",1.64,1.63,"8,243.83",0.3,0.01,0,0,"8,244.14",101.37,0.74,342.66,0.87,7.92,0.06,29.61,0.28,0.91,0.01,482.46,"8,726.60",48.96,134.18,0,183.13,4.02,0.35,"5,057.56",99.39,93.33,98.96,94.47,94.47,91.97,1.21,1.8,1.8,4.37,1.16,1.51,2.89,3.01,94.3,94.31,91.81,1.3,1.9,4.45,1.24
,,,400-799,NUCLEAR BWR                 400-799,2019,2023,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,,800-999,NUCLEAR BWR                 800-999,2019,2023,9,45,891,886,1.76,1.76,"8,314.43",0,0,0,0,"8,314.43",97.13,0.84,302.7,0.8,12.56,0.09,37.98,0.27,0,0,450.37,"8,764.80",45.08,105.58,0,150.66,3.6,0.43,"4,724.11",100,94.83,99.98,94.86,94.86,92.63,1.15,1.69,1.69,4.03,1.11,1.54,2.74,2.85,94.84,94.84,92.66,1.17,1.72,4.03,1.13
,,,1000 Plus,NUCLEAR BWR               1000 Plus,2019,2023,18,82,"1,201","1,197",1.65,1.63,"8,246.69",0.5,0.02,0,0,"8,247.20",109.12,0.73,375.69,0.94,3.26,0.02,27.32,0.3,1.5,0.01,516.9,"8,764.10",50.69,148.77,0,199.47,4.32,0.33,"5,059.32",98.79,92.81,98.74,94.1,94.1,91.54,1.31,1.91,1.91,4.65,1.25,1.57,3.06,3.2,93.99,94,91.43,1.39,2.01,4.68,1.32
,,,All Sizes,NUCLEAR CANDU             All Sizes,2019,2023,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,,All Sizes,JET ENGINE                All Sizes,2019,2023,204,909.42,41,39,85.01,84.13,435.16,"7,224.22",88.93,0,82.38,"7,741.76",292.51,5.44,406.79,2.61,15.26,0.05,222.87,3.99,4.65,0.04,942.07,"8,683.83",57.89,30.19,54.44,88.08,4.86,2.62,5.17,98.96,5.62,82.16,5.01,89.15,85.79,36.11,40.53,9.04,7.48,3.37,5.99,6.82,53.06,6.85,88.6,83.92,31.65,36.76,7.75,3.65
,,,001-019,JET ENGINE                  001-019,2019,2023,22,98,14,14,12.94,12.64,99.24,"8,044.62",19.58,0,0,"8,143.86",181.15,2.71,191,1.11,0,0,246.31,3.44,2.58,0.01,621.03,"8,764.90",2.9,0.44,2.7,3.33,2.18,2.84,7.85,97.68,0.14,13.43,1.13,92.91,92.78,64.61,65.01,17.44,5.02,2.07,4.91,4.94,81.42,1.08,92.6,92.5,68.12,68.49,5.1,2.31
,,,20 Plus,JET ENGINE                  20 Plus,2019,2023,182,811.42,44,42,93.72,92.77,475.73,"7,125.13",97.31,0,92.33,"7,693.19",305.96,5.77,432.85,2.79,17.1,0.06,220.03,4.06,4.9,0.04,980.84,"8,674.03",64.53,33.78,60.68,98.31,5.19,2.59,5.13,98.99,5.84,82.57,5.48,88.69,84.93,35.01,39.64,9.09,7.78,3.53,6.12,7.05,51.52,7.07,88.44,83.58,31.24,36.43,7.86,3.7
,,,All Sizes,GAS TURBINE               All Sizes,2019,2023,592,"2,662.75",69,67,58.04,57.29,467.46,"7,133.36",58.86,0,0,"7,600.82",384.8,4.16,416.57,1.8,17.78,0.04,188.94,2.8,12.56,0.02,"1,020.64","8,621.46",33.83,6.23,30.39,40.07,5.04,2.34,8.16,98.71,4.86,68.99,5.42,88.16,85.1,45.15,47.43,10.32,7.38,4.46,6.8,7.23,57.19,7.04,88.91,85.43,32.45,35.22,7.71,3.38
,,,001-019,GAS TURBINE                 001-019,2019,2023,83,328.75,15,15,27.68,26.38,106.05,"7,074.93",32.75,0,0,"7,180.98",503.6,3.47,255.03,0.78,28.34,0.07,194.96,2.46,41.22,0.06,"1,023.15","8,204.13",5.18,5.11,5.01,10.29,3.45,2.88,4.02,95.3,0.66,51.47,1.29,87.53,86.41,82.6,82.77,16.56,6.33,6.14,9.02,9.09,87.5,1.28,87.88,86.72,82.35,82.52,6.15,5.97
,,,020-049,GAS TURBINE                 020-049,2019,2023,117,514.58,30,29,77.4,76.78,425.78,"7,034.91",65.03,0,0,"7,460.69",568.48,4.38,310.22,1.73,13.73,0.03,194.93,3.57,3.06,0.01,"1,090.43","8,551.12",18.76,0.5,17.19,19.26,3.79,2.32,5.55,99.2,5.22,78.91,4.98,87.25,84.34,57.18,58.06,11.37,6.1,6.65,8.96,9.19,64.94,6.62,87.66,84.75,45.97,47.01,6.71,5.63
,,,50 Plus,GAS TURBINE                 50 Plus,2019,2023,392,"1,819.42",89,86,58.05,57.36,544.55,"7,171.76",61.83,0,0,"7,716.31",311.38,4.22,475.84,2,17.01,0.04,186.16,2.64,10.06,0.02,"1,000.45","8,716.77",43.28,8.06,38.71,51.34,5.65,2.25,9.49,98.81,4.95,68.22,6.25,88.52,85.08,36.38,39.64,9.39,7.91,3.57,5.82,6.37,50.53,7.25,89.06,85.46,29.89,32.97,7.85,3.09
,,,All Sizes,COMBINED CYCLE            All Sizes,2019,2023,346,"1,469.67",319,312,60.14,59.55,"4,978.54","2,526.23",54.16,0,0.09,"7,504.86",271.83,5.35,690.37,2.42,30.78,0.17,166.58,2.11,1.63,0.03,"1,161.21","8,666.07",47.55,50.64,14.79,98.19,8.32,1.94,83.6,99.02,56.31,81.95,57.45,86.6,83.38,5.18,6.07,4.71,10.26,3.14,5.08,5.85,9.31,68.71,87.45,83.95,3,4.01,10.42,2.13
